fragment,counter
[*]C1:C:C(OC):C:C:C:1OC,11
[*]OC(F)F,17
[*]C1:N:C:C:C(OC):C:1OC,1
[*]CS(=O)C1:N:C2:C:C:C([*]):C:C:2:[NH]:1,1
[*]NC1:C:C:C:C(C):C:1,3
[*]C1:C:C:C:C(C):C:1,19
[*]NS(=O)(=O)C1:C:N:C:C:C:1[*],1
[*]NC1:C:C:N:C:C:1S(=O)(=O)N[*],1
[*]S(=O)(=O)C1:C:N:C:C:C:1[*],1
[*]NC1:C:C:N:C:C:1S([*])(=O)=O,1
[*]CCCC1(C2:C:C:C(F):C:C:2)OCC2:C:C(C#N):C:C:C:21,1
[*][C@H]1CCCN1C,5
[*]CCS(=O)(=O)C1:C:C:C:C:C:1,2
[*]C[C@H]1CCCN1C,2
[*]CC1:C:[NH]:C2:C:C:C([*]):C:C:1:2,2
[*]C1:C:C:C2:[NH]:C:C([*]):C:2:C:1,5
[*]N/C(=N/C)NC,2
[*]CC1:C:C:C:C:C:1,137
[*]N1C[C@@H]2CCCN[C@@H]2C1,2
[*]C1CC1,91
[*]N1:C:C([*]):C(=O):C2:C:C(F):C([*]):C(OC):C:2:1,4
[*][N+](C)(CC)CC,11
[*]C1CCCCC1,111
[*]NC(C)(C)C,41
[*]C(=O)C1:C:C:C:C(O):C:1C,3
[*]C(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1[*],3
[*]SC1:C:C:C:C:C:1,15
[*]C[C@H](N[*])[C@H](O)C[*],1
[*]C(CC)C([*])O,1
[*]NC(CC)C([*])O,1
[*]N/C(O)=N/[C@H]1CC[C@H](C)CC1,1
[*]S(=O)(=O)C1:C:C:C([*]):C:C:1,28
[*]CC/N=C(\O)N1CC(C)=C(CC)C1=O,1
[*][C@@]1(O)[C@@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,2
[*]N[C@H]1C2:C:C:C:C:C:2C[C@H]1O,2
[*]CC1:C:C:C:N:C:1,11
[*]C(=O)[C@@H]1CN([*])CCN1[*],1
[*]C(=O)[C@H](C[*])C[C@H](O)C[*],1
[*]CN=C(N)N,4
[*]C1COC2(CCCCC2)O1,1
[*][C@@H]1C[C@@H](O)CC(=O)O1,4
[*]O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[*])[C@H]21,5
[*]CC[C@@H]1C[C@@H](O)CC(=O)O1,4
[*]O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H]([*])[C@H]21,7
[*]C(F)(F)C(F)Cl,2
[*]CC1=C(C(=O)O)N2C(=O)[C@@H](N[*])[C@H]2SC1,17
[*]CCN1:N:N:N:C:1S[*],2
[*]C(=O)C[*],118
[*]C1:C:S:C(N):N:1,9
CC(C)C[C@H](CN)CC(=O)O,2
CN1C(=O)C(O)N=C(C2:C:C:C:C:C:2)C2:C:C(Cl):C:C:C:21,2
CN1C(CCl)NC2:C:C(Cl):C(S(N)(=O)=O):C:C:2S1(=O)=O,1
[*]C1:C:C:C(N):C:C:1O,1
[*]OC1:C:C:C:C:C:1[*],31
[*][C@H]1CNCCO1,2
[*][C@@H]([*])C1:C:C:C:C:C:1,3
[*][C@H]([*])[C@H]1CNCCO1,2
[*]O[C@@H]([*])C1:C:C:C:C:C:1,2
[*]O[C@H]([*])[C@H]1CNCCO1,2
[*]C1:C:C:N:C:C:1,57
[*]C1:C:C(C#N):C(=O):[NH]:C:1C,1
[*]C(=O)CCBr,1
[*]N1CCN([*])CC1,190
[*]C(C)CC,4
[*]C1(CC)C(=O)NC(=O)NC1=O,7
[*]N1C2:N:C:C:C:C:2C(=O)NC2:C(C):C:C:N:C:21,1
[*]CC1:C:C:C(Cl):C:C:1Cl,3
[*]N1:C:C:N:C:1,42
[*]O/N=C(\C[*])C1:C:C:C(Cl):C:C:1Cl,1
[*][C@@]1(O)[C@H](C)C[C@H]2[C@H]3[C@H]([C@@H](O)C[C@@]21C)[C@@]1(C)C=CC(=O)C=C1C[C@H]3Cl,1
[*]CC=C,23
[*]C1([*])C(=O)NC(=O)NC1=O,5
[*][C@H]1C[C@H](O)[C@@H](CO)O1,32
[*]N1:C:N:C2:C(N):N:C(Cl):N:C:2:1,5
[*]NC1:C(C):C:C:C:C:1C,11
[*]OC1:C:C:C:C:C:1OC,14
[*]C1:C:C:C:C:C:1OC,23
[*]C(=O)C[*],107
[*]C1:C:C(N):C:C:C:1O,1
[*]O[C@@H]1C[C@@H]2CC[C@H](C1)N2C,7
[*][C@@H]1C[C@@H]2CC[C@H](C1)N2C,2
[*]C([*])C1:C:C:C:C:C:1,32
[*]OC([*])C1:C:C:C:C:C:1,16
[*]CCC1:C:C2:C(:C:C:1Cl)NC(=O)C2,1
[*]C1:N:S:C2:C:C:C:C:C:1:2,4
[*]NC(CC)CO,1
[*]C(=O)[C@@H]1C=C2C3:C:C:C:C4:C:3:C(:C:N:4C)C[C@H]2N(C)C1,1
[*]C(=O)NCC,5
[*]NCC,47
[*]CC=C,31
