fragment,counter
[*]NC1:C(O):C2:C:C:C([*]):C(Cl):C:2:O:C:1=O,1
CN1C(=O)CCC1(C)C,1
[*]C1:C:N2:C3:C(:S:C:2:N:1)CCC3,1
[*][C@@H]1SCC(C(=O)O)=NC=C1C(=O)O,1
N[C@H]1OC2:C:C:C:C:C:2[C@H](O)S1,1
[*]C[C@@H](O)[C@@H](O)[C@H](O)CO,1
[*]C1:C:C:C([Hg]):C:C:1,1
[*]C(=O)CCCCCCC[*],1
[*][C@H]1C[C@H]1[*],3
[*]CC1CC1,4
[*]N1:C:N:C([*]):C:1[*],3
[*]CN1:C:N:C([*]):C:1[*],2
[*][C@@H]1[C@@H](O)C=C(C(=O)O)O[C@H]1O,1
[*]N([*])C1:C:C:C:C2:C:C:C:C:C:1:2,1
[*]C[C@@H]1O[C@H]2NC3:N:C(N):[NH]:C(=O):C:3N[C@H]2C2=C1S[Mo](=O)(=O)(S)S2,1
[*]C[C@@H](C=O)N[*],1
[*]N[C@H](C=O)CS[*],1
[*][N@H+](C)[C@@H]1CC=C(C)CC1,1
[*]C1:N:N:C2:C(N):[N+](C):C:[NH]:C:12,1
[*]CC1:C:C(OC):C:C(OC):C:1,1
NC(=O)[C@@H](N)CCCC[NH3+],1
OC[C@H]1OC(O)[C@H](O)[C@H](O)[C@@H]1O,1
[*]C1OC(CO)C(O)C([*])C1O,1
[*]OC1OC(CO)C(O)C([*])C1O,1
[*]S[C@@H]1[C@@H](O)[C@H]([*])O[C@H](CO)[C@H]1O,1
[*][C@@H]1O[C@H](CO)[C@@H](O)[C@H]([*])[C@H]1O,1
[*]O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](S[*])[C@H]1O,1
[*]O[C@@H]1O[C@H](CO)[C@@H](O)[C@H]([*])[C@H]1O,1
[*][C@@H]1OC(C(=O)O)=C[C@H](O)[C@H]1/N=C(/C)O,2
[*]NC[C@H](N)C(=O)O,1
CC(C)CCC(=O)O,1
NCCO,1
OC[C@H]1O[C@@H]2O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O[C@@H]5[C@@H](CO)O[C@H](O[C@@H]6[C@@H](CO)O[C@H](O[C@@H]7[C@@H](CO)O[C@H](O[C@@H]8[C@@H](CO)O[C@H](O[C@H]1[C@H](O)[C@H]2O)[C@H](O)[C@H]8O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O,1
[*][C@@H]1CC(C2:C:C:C:C:C:2Cl)=NN1C(C)=O,1
[*]C[C@@H](N)C[*],6
[*]C1N=C(CN)N([*])C1=O,1
CCCCP(=O)(O)O,1
[*]N1:C:C(Br):C(=O):[NH]:C:1=O,1
[*]NC1:C:C2:[NH]:C:C:C:2:C:C:1[*],1
[*]NCS,1
[*]N[C@H]([*])C,4
[*]C(=O)C1:C(F):C:C:C:C:1F,1
[*]C1:C(N):N:C2:C:C:C([*]):C:N:1:2,1
[*]C(=O)C1:C:C:C2:N:C(N):C([*]):N:2:C:1,1
[*]C(=O)C1:C(N):N:C2:C:C:C([*]):C:N:1:2,1
[*]C(=O)C1:C:C:C2:N:C(N):C(C([*])=O):N:2:C:1,1
[*]ON1C(N)=NC(N)=NC1(C)C,2
[*]OC1:C:C:C(Br):C:C:1,1
N=C(N)C1:C:C:C2:C(:C:1):[NH+]:C1:N:2[Zn]N2:C(:[NH+]:C3:C:C(C(=N)N):C:C:C:3:2)C1,1
[*]C1:C(C):C2:N3:C:1C=C1:C([*]):C(C):C4:N:1[Fe@]31N3:C(:C(C):C(C=C):C:3C=4)C=C3:C(C=C):C(C):C(:N:31)=C2,1
[*]C1:N:C2:C([*]):C:C:C:C:2:[NH]:1,1
[*]C1:N:C2:C:C([*]):C:C:C:2:[NH]:1,3
CO/C(O)=N/[C@]1(C(=N)O)O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,1
O=C1CC2:C(:[NH]:C3:C:C:C([N+](=O)[O-]):C:C:2:3)C2:C:C:C:C:C:2N1,1
CSCC[C@H](N)[P@H](=O)O,1
[*]C(=O)C1:C:C:C2:C:C:C:C:C:2:C:1,1
[*]N1CCC(N([*])C)CC1,4
[*]C(=O)C1:C:C2:C:C:C:C:C:2:C:C:1[*],2
[*]CCCN([*])C,2
[*]NC1:N:C([*]):N:C(S[*]):N:1,1
[*]CCCCCCCC[*],2
[*][C@H]1O[C@H]([*])[C@@H](O)C(O)[C@@H]1O,1
[*][C@@H]1O[C@H](CO)[C@@H](/N=C(\O)[C@@H](N)CO)[C@H]1O,1
CN1[C@H]2CC[C@@H]1C[C@@H](O)C2,1
[*]CCC[C@@H](N)C(=O)O,1
C[C@H]1O[C@H](O)[C@@H](O)C[C@@H]1O,1
[*]N1CCC2:C(:N([*]):C3:C:C:C:C:C:2:3)C1,1
[*]N1CCC2:C(:N(C[*]):C3:C:C:C:C:C:2:3)C1,1
[*]O[V]([O-])([O-])([O-])O,1
[*]C[C@@H](O)[C@H](O)C(=O)CO,1
[*]CC(C)(C)[C@@H](O)/C(O)=N/CC/C(O)=N/CCSS,1
[*]N([*])C1:N:N:[NH]:N:1,1
CCCCCCCCCCCCC(=O)CC(=O)O,1
[*]OC1:C:C(/C(O)=N/C(C[*])C[*]):C:C([N+](=O)[O-]):C:1,1
[*]CC(C[*])/N=C(\O)C1:C:C([*]):C:C([N+](=O)[O-]):C:1,1
[*]CC1:C:C:C([N+](=O)[O-]):C:C:1[N+](=O)[O-],2
[*]CC1=C(C(=O)O)N[C@@H]([*])SC1,1
[*]CC1:C:C:C(CO):C:C:1,1
[*][C@@H](O)OC,1
[*]C[C@@H]1O[Fe@@]23OC4:C:C:C:C:C:4[C@H]4N[C@@H](CO4)C(=O)N[C@H](CCCCN1O2)C(=O)OCCC(=O)N[C@@H]1CCCCN(O3)C1=O,1
[*]OC1:C:C:C:C:C:1N[*],2
[*]SC(=O)[C@H](C)C(=O)O,1
CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,1
[*]NC1:N:C:C([*]):N:C:1[*],1
[*]NC1:N:C:C([*]):N:C:1C[*],1
[C-]#[N+]CCC,1
CC1:C:C:C(O):C:C:1C,1
O=P[O-],1
[*]C(=O)C1:C([*]):C([*]):C([*]):[N+](CC):C:1C,1
[*]CC1:C:C:C2:[NH]:C(=N):N:C(O):C:2:N:1,1
[*]CC1:C(C(=N)O):N:C:N:1[*],1
[*]NC1:C:C:C:C2:C:C:C(C(=N)N):C:C:1:2,3
[*]C1:C:C:C:C2:C:C:C(C(=N)N):C:C:1:2,1
[*]C1:C:N:C(O):C(C):C:1,1
[*][C@@H](N)C(=O)O,2
C[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,1
CC(C)C[C@](C)(N)C(=O)O,1
COC(=O)C1=C(C)CC(=O)C2:C1:C:C1:C(:C:2O)C(=O)C2:C(O):C:C:C:C:2C1=O,1
[*]N([*])C=O,2
[*]SCC1:C:C:C(O):C:C:1,1
[*]CC1:C:C:C(O):C:C:1,1
NC1:C:C2:C(:N:N:1)C1:C:C:C:C:C:1CC2,1
CC[C@H]1OC(=O)[C@H](C)[C@@H](O)[C@H](C)[C@@H](O)[C@@H](C)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@H]1C,1
C[C@](O)(C(=O)O)[C@H](CC(=O)O)C(=O)O,1
CC(C)C(=O)C(=O)O,1
OC1:N:C:N:C2:N:C:[NH]:C:1:2,1
CCCC[C@@H](O)[C@H](O)CO,1
[*]C(C(=O)O)C(=O)O,1
CN[C@H]1C[C@H](C)S(=O)(=O)C2:S:C(S(N)(=O)=O):C:C:21,1
[*]OCO,2
[*]CC1:C:N:C(C):C(O):C:1/C=N/CCCC[C@H](N)C(=O)O,1
OC[C@H]1O[C@H](O)[C@@H](F)[C@@H](O)[C@@H]1O,1
[*]COC[*],1
[*]O[C@H]1[C@H](O)[C@@H](F)[C@H]([*])O[C@@H]1CO,1
[*][C@@H]1O[C@H](CO)[C@@H]([*])[C@H](O)[C@H]1F,1
[*]O[C@H]1[C@H](O)[C@@H](F)[C@H](O[*])O[C@@H]1CO,1
[*]O[C@@H]1O[C@H](CO)[C@@H]([*])[C@H](O)[C@H]1F,1
[*]C[C@@H](O)[C@@H](O)CCO,1
[*]OCCCCN[*],1
CC1=C(N2CC2)C(=O)C(CO)=C(N2CC2)C1=O,2
[*]C(=O)[C@@H](O)[C@H](N)C[*],1
CCCCCCCCCCC=O,1
CC(=O)CCO,1
OC1:N:C:N:C2:C:C:[NH]:C:1:2,1
[*]O[C@@H]1[C@@H](CO)N=C(O)[C@H](O)[C@H]1O,1
[*][C@@H]1[C@@H](CO)N=C(O)[C@H](O)[C@H]1O,1
[*][C@H]1O[C@H](CO)[C@@H](F)[C@H](O)[C@H]1O,1
[*]O[C@@H]1CCCNC[C@@H]1N[*],1
[*]C(=O)C1:C:C(O):C([*]):C(O):C:1,1
[*]C(=O)C1:C:C(O):C(C([*])=O):C(O):C:1,1
[*]C(=O)C1:C([*]):C:C:C:C:1O,1
[*]N/C=N\O,1
[*][C@@H]1O[C@H](CO)[C@@H](O)[C@H]1N,1
C[N+]1:C(N):C:C:[NH]:C:1=O,1
CN1:C:N:C(N):C2:N:C:N:C:12,1
[*]O/N=C(/C1:C:C:C:C:N:1)C1([*])CC1,1
[*]C(=O)[C@@H](O)[C@@H](N)CC[*],1
[*]CC1:C:C:C(C(N)=[NH2+]):C:C:1,1
CC1:C:C:C(O):C([N+](=O)[O-]):C:1,1
[*]OC1:C2:C:C3:C:C:1OC1:C:C:C(:C:C:1Cl)[C@@H](O)[C@@H](/N=C(\O)[C@@H](CC(C)C)NC)/C(O)=N\[C@@H]([*])/C(O)=N/[C@H]3/C(O)=N\[C@H]1/C(O)=N\[C@H](/C(O)=N\[C@H](C(=O)O)C3:C:C(O):C:C(O):C:3C3:C:C1:C:C:C:3O)[C@H](O[*])C1:C:C:C(:C(Cl):C:1)O2,2
[*]O[C@@H]1C2:C:C:C(:C(Cl):C:2)OC2:C:C3:C:C(:C:2[*])OC2:C:C:C(:C:C:2Cl)[C@@H](O)[C@@H](/N=C(\O)[C@@H](CC(C)C)NC)/C(O)=N\[C@@H]([*])/C(O)=N/[C@H]3/C(O)=N\[C@H]2/C(O)=N\[C@@H]1/C(O)=N\[C@H](C(=O)O)C1:C:C(O):C:C(O):C:1C1:C:C2:C:C:C:1O,2
[*]OC[C@H](C[*])/N=C(/C)O,1
[*]CC(C[*])/N=C(/C)O,1
O=CN1CCCCC1,1
CCC1=C[C@@H]2CC3:N:C4:C:C(Cl):C:C:C:4:C(N):C:3[C@H](C1)C2,1
[*]C[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,1
[*]OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,1
[*]CC1:C:C:C2:C:C:C:C:C:2:C:1,1
CC1:C:C:C(O):C(O):C:1,1
[*]NC[P@H](=O)O,1
[*]C1:C(O):C:C:N(C):C:1=O,1
[*]C(=O)C([*])C,3
[*]C(=O)/C(C)=C/C[*],3
[*]C/C=C\C,1
[*]C(C)[C@@H](OC)[C@H]([*])C,1
[*]C/C=C/[C@H]1O[C@@H]([*])[C@@H](O)[C@H]1O,1
[*]C/C=C(\C)[C@@H](OC)[C@H]([*])C,1
[*]C[C@H]1O[C@@H]([*])[C@@H](O)[C@H]1O,1
[*]C/C=C/C/N=C(\O)[C@H]([*])CC,1
[*]C[C@@H]1O[C@@]([*])(O)[C@H](O)[C@H](O)C1(C)C,1
[*]CC/N=C(\O)[C@H]([*])CC,1
[*]C[C@H]1O[C@@H](O)[C@@H](O)[C@@H]1O,1
[*]C[C@H](O)[C@H](O)[C@H](O)CO,3
[*]NC1:N:C(O):N:C(O):C:1N=O,1
COC1:C:C:C2:N:C:[NH]:C:2:C:1,1
[*]SCCCCCC,1
[*][C@@H]1NC(C(=O)O)=C(C)CS1,1
OC1=NC=C(F)[C@H](O)N1,1
[*]O[C@@H](O)CCCCCCCCCCCCCC,1
[*][C@@H](O)CCCCCCCCCCCCCC,1
[*]CCBr,2
[*]N([*])C1:C:C(/C(O)=N/CC(=O)C=O):C([N+](=O)[O-]):C:C:1[N+](=O)[O-],1
[*]N1CN([*])C(=O)C[C@@H]1[*],1
[*]N1CN(C[*])C(=O)C[C@@H]1[*],1
[*]C[C@@H](O)[C@H]([*])O,1
[*]C(=O)N1CCNCC1,1
[*]C(=O)N1C(C2:C:C:C(OC):C:C:2O[*])=N[C@@H]([*])[C@H]1[*],1
[*]OC1:C:C(OC):C:C:C:1C1=N[C@@H]([*])[C@@H]([*])N1[*],1
OCC1:C:C:C:N:C:1,1
[*]CC1:C:C:C(I):C:C:1,1
[*][C@H]1NC(C2:C:C:C(O):C:C:2)=CN2C(=O)[C@]([*])(OO)N=C12,1
[*]C[C@@]1(OO)N=C2[C@@H]([*])NC(C3:C:C:C(O):C:C:3)=CN2C1=O,1
[*]C[C@H]1NC(C2:C:C:C(O):C:C:2)=CN2C(=O)[C@]([*])(OO)N=C12,1
[*]C[C@H]1NC(C2:C:C:C(O):C:C:2)=CN2C(=O)[C@](C[*])(OO)N=C12,1
CCCCCCCCCCCC[N+](C)(C)[O-],1
[*][C@@H]1CNC(=O)C1,2
[*]C[C@H](/N=C(\C)O)/C(O)=N/[C@@H](C(=O)O)[C@@H](C)O,1
[*]C1:C:N(C):C:N:1,1
N[C@@H](CC1=CCCCC2:O:[NH]:C(=O):C:21)C(=O)O,1
[*]SCO,2
[*]N(C)C1:C:C:C:C([*]):C:1,2
[*]C1:C:C:C2:N:N:C([*]):N:2:N:1,7
[*][C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1F,1
[*]O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1F,1
[*]C(=O)ON,1
[*]CC1=NC2:C(O):N:C(=N):[NH]:C:2NC1,1
[*]OP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O[*],2
[*][C@H](O)[C@H](N)C(=O)O,1
CCC(N)=O,1
[*]NC1:N:C(O):N:C(O):C:1[N+](=O)[O-],1
[*]N[C@@H]1C(=C)O[C@H](O)[C@H](O)[C@H]1O,1
[*][C@H]1C=C(C=O)C(=O)[C@H](O)[C@H]1O,1
[*][C@@H]1C(=C)O[C@H](O)[C@H](O)[C@H]1O,1
[*]N[C@H]1C=C(C=O)C(=O)[C@H](O)[C@H]1O,1
CCCC(CCC)C(N)=O,1
[*]N[C@@H](CCC(N)=O)C(=O)O,2
[*]C1:N:C(N):N:C(O):C:1Br,1
NC1:C:C(N):C2:C(=O):[NH]:[NH]:C(=O):C:2:C:1,1
[*]CC[C@@](C)(O)CBr,1
CC[C@@](C)(N)C(=O)O,1
[*]NS(=O)(=O)C1:C([*]):C:C([*]):C:C:1[*],3
[*]O[C@@H]1[C@@H](/N=C(/C)O)[C@@H]([*])O[C@H](CO)[C@H]1O,1
[*][C@H]1O[C@H](CO)[C@@H](O)[C@H]([*])[C@H]1/N=C(/C)O,1
[*]C1:[NH]:C2:C:C(Cl):C:C(Cl):C:2:C:1[*],1
C[C@]12CC[C@H](O)C[C@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](C3=CC(=O)OC3)CC[C@]12O,1
C1:C:C:C2:O:C:C:C:2:C:1,1
[*]SC[C@@H](O)[C@@H](O)C(=O)CO,1
[*]C[C@@H](O)[C@@H](O)C(=O)CO,1
CC(C(=O)O)C(=O)O,1
CCC[C@H](N)C(=O)O,1
[*]NC1:C:C:C:C2:C:1[C@H]1CCCN1C2=O,1
[*]C1:C:C:C:C2:C:1[C@H]1CCCN1C2=O,1
[*]S[C@H]1C2:C:C:C:C:C:2C2:C:C:C:C:C:2[C@@H]1O,1
[*]CC=C=C,1
[*]NCC=C=C,1
[*]CCC[C@H]([*])C(=O)O,2
[*]O[C@H](C[C@@H](O)[C@@H]([*])/C(O)=N/[C@H]1C2:C:C:C:C:C:2C[C@H]1O)/C(O)=N/[C@H]1C2:C:C:C:C:C:2C[C@H]1O,1
[*]O[C@H](C[C@@H](O)[C@@H](O[*])/C(O)=N/[C@H]1C2:C:C:C:C:C:2C[C@H]1O)/C(O)=N/[C@H]1C2:C:C:C:C:C:2C[C@H]1O,1
[*][C@H](C[C@@H](O)[C@@H]([*])/C(O)=N/[C@H]1C2:C:C:C:C:C:2C[C@H]1O)/C(O)=N/[C@H]1C2:C:C:C:C:C:2C[C@H]1O,1
[*]O[C@@H](/C(O)=N/[C@H]1C2:C:C:C:C:C:2C[C@H]1O)[C@H](O)C[C@@H]([*])/C(O)=N/[C@H]1C2:C:C:C:C:C:2C[C@H]1O,1
[*]N[C@H](C(=O)OC)C(C)C,2
[*]C(=O)CC[C@H](O)[C@H](C[*])N[*],1
N[C@@H](CCO)C(=O)O,1
[*][C@@]1(C)O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,1
[*][C@@]1(C)O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,1
[*]CC1:C:N:C2:N:C(N):N:C(O):C:2:N:1,1
N/C(=N\CCC[NH3+])NO,1
[*]C1:[NH]:N:C2:C(=O):[NH]:C:N:C:1:2,1
[*][C@H]1COC(=O)[C@@H]1[*],1
[*]C[C@H]1C(=O)OC[C@@H]1[*],1
[*]C[C@H]1COC(=O)[C@@H]1[*],1
[*]C[C@H]1COC(=O)[C@@H]1C[*],1
[*]C1:C:O:C2:C:C(OC):C:C:C:2:C:1=O,1
NC1:C:C:C(S(N)(=O)=O):C:C:1[Hg],1
[*]C1:C:[NH]:C2:N:C:C:C:C:1:2,4
[*][C@@H]1O[C@@]([*])(O)[C@H](F)[C@H](O)[C@H]1/N=C(/C)O,1
CC(=[NH2+])C(=O)[O-],1
C#C[C@H](N)C(=O)O,1
[*]N1:C:N:C2:C(N):C:C:N:C:2:1,1
O=[V]([O-])O[V](=O)(O)O[V](=O)=O,1
[*]O[C@@H]1[C@H](C)[C@@H](OC)/C=C/O[C@@]2(C)OC3:C(C):C(O):C4:C(:C:3C2=O)C(=O)C(N2CCOCC2)=C(NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@H]1C)C4=O,1
[*]OCC1CCCN(C)C1,1
[*]N[C@@H](CO)C[S@@](=O)CSC,1
[*]CC1:C(C):[NH]:C(=O):[NH]:C:1=O,1
C/C=C(\NC)C(=O)O,1
[*]N[C@H]1C[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,1
[*][C@H]1C[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,1
[*][C@H](O)[C@H](O)CN,1
[*]CC(C)(C)[C@@H](O)/C(O)=N/CC/C(O)=N/CCC[N+](=O)[O-],1
[OH2+][Cu-4]([OH2+])([N+]1:C:C:[NH]:C:1)([N+]1:C:C:[NH]:C:1)([N+]1:C:C:[NH]:C:1)[N+]1:C:C:[NH]:C:1,1
[*]C(=O)N1CCN([*])[C@@H]([*])C1,1
[*]N1CCN([*])[C@@H]([*])C1,1
[*]OCC1:C:C:C(Br):C:C:1,1
[*]N[C@H](C=O)CCCC,4
[*]CC1:C:C:C(Br):C:C:1,2
CC[C@@H](N)CCC(=O)O,1
[*]C[C@H](N)CO,3
NC(CCO)(CCO)CCO,1
[*]N1CCCC[C@@H]1[*],1
[*]CC1:C:C(CN):C:C2:C(=O):[NH]:C(N):N:C:1:2,1
[*][C@H](OC)C(=O)[C@@H](O)[C@@H](C)O,1
[*]C1CC(=O)C2:C(:C:C3:C:C:C([*]):C(O):C:3:C:2O)C1,1
[*]NC(C)(C)C(=O)O,2
[*]NS(=O)(=O)C1:C:C:C:C:N:1,1
[*]C(=O)[C@@H]([*])CC(C)C,2
[*]CC[NH3+],1
[*]O[C@H]1[C@@H](CO)O[C@@H]([*])[C@H](O)[C@H]1O,1
[*][C@@H]1O[C@H](CO)[C@H]([*])[C@H](O)[C@H]1O,1
[*]O[C@@H]1O[C@H](CO)[C@H](O[*])[C@H](O)[C@H]1O,1
[*]O[C@@H]1O[C@H](CO)[C@H]([*])[C@H](O)[C@H]1O,1
[*]C1:C2:[N-]:C(:C:1C)/C=C1\[N-]:C(:C(C)\C:1=C\C)/C=C1\[N-]:C(:C(C)\C:1=C/C)/C=C1\[N-]/C(:C([*]):C:1C)=C\2,1
[*]CCSC(=O)CCC,1
[*]N[C@@H](CC(=O)O)C(=O)O,4
[*]CC1:C:C:C2:C(:C:1)OCO2,3
[*]O[C@@H](/C(O)=N/[C@H](/C(O)=N/C)C(C)C)[C@H](O)[C@@H](O)[C@@H]([*])/C(O)=N/[C@H]1C2:C:C:C:C:C:2C[C@H]1O,1
[*]O[C@@H](/C(O)=N/[C@H](/C(O)=N/C)C(C)C)[C@H](O)[C@@H](O)[C@@H](O[*])/C(O)=N/[C@H]1C2:C:C:C:C:C:2C[C@H]1O,1
[*][C@@H](/C(O)=N/[C@H](/C(O)=N/C)C(C)C)[C@H](O)[C@@H](O)[C@@H]([*])/C(O)=N/[C@H]1C2:C:C:C:C:C:2C[C@H]1O,1
[*]O[C@@H](/C(O)=N/[C@H]1C2:C:C:C:C:C:2C[C@H]1O)[C@H](O)[C@@H](O)[C@@H]([*])/C(O)=N/[C@H](/C(O)=N/C)C(C)C,1
[*][C@](C)(N)C(=O)O,1
[*]CCCCCCC,7
[*]CCCCC(F)(F)P(=O)(O)O,1
NC(=O)O,1
[*]N1:C2:N:C(=O):N:C(O):C2:N:C([*]):C:1O,1
[*][C@H]1O[C@H]([*])[C@@H](O)[C@H](O)[C@H]1N,1
[*]O[C@H]1O[C@H]([*])[C@@H](O)[C@H](O)[C@H]1N,1
[*]C1:C:C:C2:N:C(N):N:C(O):C:2:C:1,1
[*]C[C@H]([*])C(=O)O,1
[*]N[C@@H]1[C@@H](O)C[C@]([*])(O)O[C@H]1[*],1
[*]CCCCCP(=O)(O)O,1
[*]NC1:N:C(O):N:C(O):C:1[*],1
[*]O[C@@H]1[C@@H](CO)O[C@H]([*])[C@H](/N=C(/C)O)[C@H]1O,1
[*][C@H]1O[C@H](CO)[C@@H]([*])[C@H](O)[C@H]1/N=C(/C)O,1
[*]O[C@@H]1[C@@H](CO)O[C@H](O[*])[C@H](/N=C(/C)O)[C@H]1O,1
[*]O[C@H]1O[C@H](CO)[C@@H]([*])[C@H](O)[C@H]1/N=C(/C)O,1
[*][C@H]1/C=C/C(O)=N\C[C@H](/N=C/O)C(=O)N2CCC[C@H]2/C(O)=N/[C@@H]([*])C(=O)C(=O)N[C@H]([*])/C(O)=N/1,1
[*]C[C@H]1/C=C/C(O)=N\C[C@H](/N=C/O)C(=O)N2CCC[C@H]2/C(O)=N/[C@@H]([*])C(=O)C(=O)N[C@H]([*])/C(O)=N/1,1
[*]C[C@H]1NC(=O)C(=O)[C@H]([*])/N=C(\O)[C@@H]2CCCN2C(=O)[C@@H](/N=C/O)C/N=C(O)\C=C\[C@H]([*])/N=C/1O,1
[*]C[C@H]1/C=C/C(O)=N\C[C@H](/N=C/O)C(=O)N2CCC[C@H]2/C(O)=N/[C@@H]([*])C(=O)C(=O)N[C@H](C[*])/C(O)=N/1,1
[*]CCN1:C2:C:C:C:C:C:2:C2:C:C:C:C:C:2:1,1
[*]C(=O)C1:C(C):N:[NH]:C:1C,1
ClC1:C:C:C2:C(:C:1Cl)CNCCC2,1
[*]C[C@@H](O)[C@H](O)[C@H](O)C(=O)CO,1
[*][C@H]([*])/C(O)=N/C/C(O)=N/[C@@H](C)/C(O)=N/CCCS,1
CC(C)C(C(=O)O)C(O)C(=O)O,1
[*]N1C=C[C@@H](O)N=C1O,1
[*]C1C(=O)C2:C:C:C:C:C:2C(O)=C1O,1
[*]C1CCC([*])CC1,1
OC[C@H]1O[C@H](O)[C@H](F)[C@@H](O)[C@@H]1O,1
OC1:N:C(Br):N:C2:[NH]:C:N:C:1:2,1
[*][C@@H]1CCC[N+]1(C)C,1
[*]CCC([*])([*])C[*],1
O[C@@H]1CO[C@@H](O)[C@H](O)[C@@H]1O,1
[*]CCCCCC/C(O)=N/[C@H](C[*])CCC(=O)O,1
[*]NC1:N:C([*]):N:C2:C:1:N:C:N:2[*],2
[*]C(=O)C1:C:C:C2:[NH]:C:C:C:2:C:1,1
[*]N1CCN(C2C3:C:C:C:C:C:3C3:C:C:C:C:C:32)CC1,1
[*]N[C@H]1C(=O)N2C(C(=O)O)=C(Cl)CC[C@H]12,1
OC[C@H]1O[C@@H](/N=C(O)/N=C(\O)C2:C:C:C:C:C:2)[C@H](O)[C@@H](O)[C@@H]1O,1
CC(=O)CC[C@H](N)C(=O)O,1
[*]C(=O)[C@H](C)C[*],1
[*]CCC1:C:C:C(O):C:C:1,2
[*]C1:C:C(C):C(N):C:C:1[*],1
[*]SC1=C(O)CC([*])([*])OC1=O,1
[*]CC[C@@]1([*])CC(O)=C(S[*])C(=O)O1,1
[*][C@@H]1[C@H](O)[C@H]([*])[C@@H]([*])[C@H](O)[C@H]1[*],1
[*]C([*])(O)O,1
[*]C[C@@]1(C)SC(=O)C(C)=C1O,3
[*][C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1OC,1
O=C(O)[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO,1
[*]SC1:C:C:C(C):C:C:1,2
[*]N[C@@H]1CCC2:C:C:C(O):C:C:21,1
[*]C(=O)[C@H](CCCCC)CC(=O)NO,1
OCC1:C:C:C:C(F):C:1F,1
C[C@H](C(=O)O)[C@@H](N)C(=O)O,2
CN1:C:C:C(N):N:C:1=O,1
[*]N[C@H](C[*])C(=O)O,2
O=C(O)C(CP(=O)(O)O)=C(Cl)Cl,1
[*]C(=O)[C@H](CCC[*])C[P@](=O)(O)[C@@H](C[*])N[*],1
[*]C(=O)[C@H](CCC[*])C[P@](=O)(O)[C@H]([*])C[*],1
C=C(Br)CO,1
CCCCCC[P@](=O)(O)OCC,1
[*][C@@H]1CNC2:[NH]:C(=N):N:C(O):C:2C1,1
[*]CC[C@@H]1CNC2:[NH]:C(=N):N:C(O):C:2C1,1
[*]S[C@@H]1C[C@H]([*])ON1,1
[*][C@@]1(O)[C@H](OC)C(=O)CC[C@@]1(C)O,1
[*]CC[NH3+],2
[*][C@@H]1C=C(C(=O)O)C[C@@H](O)[C@@H]1O,1
C1:C:C:C2:C:N:C:C:C:2:C:1,1
[*]C(=O)[C@@H]1[C@H]([*])O[C@@]2(C(=O)C3:C:C:C(C):C:C:3C2=O)[C@@H]1[*],1
[*]C1:C:S:N:N:1,1
[*]C(=O)C1=C(C)NC(=S)N[C@H]1[*],1
NCCCCCCCCN,1
N[C@@H](CC1=CC(=O)C(O)=CC1=O)C(=O)O,1
[C-]#[N+]C,1
[*]O[PH](=O)[O-],1
[*]CC1:C:C:C:C(I):C:1,4
[*]SCC1:C:C:C:C(I):C:1,1
O=CC(=O)O,1
CC1:C:C2:N:C3:[NH]:C(=O):[NH]:C(=O):C:3:N:C:2:C:C:1C,1
C[C@@]1(O)OC[C@H](O)C1(O)O,1
O=C(O)C1=CC(=O)[C@@H](O)[C@H](O)C1,1
C[C@H](O)CO,1
[*][C@@H]1NC(=O)[C@H]([*])N2C(=O)[C@H](C[C@H]2O)NC(=O)[C@H]2CCCN2C(=O)[C@H]([*])NC1=O,1
[*]C[C@H]1C(=O)N[C@@H]([*])C(=O)N[C@@H]([*])C(=O)N2CCC[C@@H]2C(=O)N[C@H]2C[C@@H](O)N1C2=O,1
[*]C(CC(=O)[O-])C(=O)[O-],1
[*]O/C(O)=N/[C@@H](C[*])C(=O)C[C@@H](C[*])/C(O)=N/[C@@H](CCC(=N)O)/C(O)=N/[C@@H](C[*])C(=N)O,1
